sample	aligner	AlignedBases	AlignedBasesPct	AlignedReadLengthMean	AlignedReadLengthMedian	AlignedReadLengthMode	AlignedReadLengthStandardDeviation	ChimericReadPairPct	DeletedBases	DeletedBasesPct	DuplicateBases	DuplicateBasesPct	DuplicateReads	DuplicateReadsPct	FilteredRecords	FilteredRecordsPct	InputFileName	InputFileSize	InsertSizeMean	InsertSizeMedian	InsertSizeMode	InsertSizeStandardDeviation	InsertedBases	InsertedBasesPct	MappedBases	MappedBasesPct	MappedReads	MappedReadsPct	MatchedBases	MatchedBasesPct	MismatchedBases	MismatchedBasesPct	PerfectBases	PerfectBasesPct	PerfectReads	PerfectReadsPct	Q20Bases	Q20BasesPct	R1AlignedBases	R1AlignedBasesPct	R1AlignedReadLengthMean	R1AlignedReadLengthMedian	R1AlignedReadLengthMode	R1AlignedReadLengthStandardDeviation	R1DeletedBases	R1DeletedBasesPct	R1InsertedBases	R1InsertedBasesPct	R1MappedBases	R1MappedBasesPct	R1MappedReads	R1MappedReadsPct	R1MatchedBases	R1MatchedBasesPct	R1MismatchedBases	R1MismatchedBasesPct	R1PerfectBases	R1PerfectBasesPct	R1PerfectReads	R1PerfectReadsPct	R1Q20Bases	R1Q20BasesPct	R1SoftClippedBases	R1SoftClippedBasesPct	R1SoftClippedReads	R1SoftClippedReadsPct	R1UnmappedBases	R1UnmappedBasesPct	R1UnmappedReads	R1UnmappedReadsPct	R1UnpairedReads	R1UnpairedReadsPct	R1YieldBases	R1YieldReads	R2AlignedBases	R2AlignedBasesPct	R2AlignedReadLengthMean	R2AlignedReadLengthMedian	R2AlignedReadLengthMode	R2AlignedReadLengthStandardDeviation	R2DeletedBases	R2DeletedBasesPct	R2InsertedBases	R2InsertedBasesPct	R2MappedBases	R2MappedBasesPct	R2MappedReads	R2MappedReadsPct	R2MatchedBases	R2MatchedBasesPct	R2MismatchedBases	R2MismatchedBasesPct	R2PerfectBases	R2PerfectBasesPct	R2PerfectReads	R2PerfectReadsPct	R2Q20Bases	R2Q20BasesPct	R2SoftClippedBases	R2SoftClippedBasesPct	R2SoftClippedReads	R2SoftClippedReadsPct	R2UnmappedBases	R2UnmappedBasesPct	R2UnmappedReads	R2UnmappedReadsPct	R2UnpairedReads	R2UnpairedReadsPct	R2YieldBases	R2YieldReads	SoftClippedBases	SoftClippedBasesPct	SoftClippedReads	SoftClippedReadsPct	TotalPairs	TotalRecords	TotalSameChrPairs	TotalSameChrPairsPct	UnfilteredRecords	UnfilteredRecordsPct	UnmappedBases	UnmappedBasesPct	UnmappedReads	UnmappedReadsPct	UnpairedReads	UnpairedReadsPct	WgsAlignedReads	WgsAlignedReadsPct	WgsCalculatedAlignedReads	WgsCovDuplicateReads	WgsCovDuplicateReadsPct	WgsCoverageBases1	WgsCoverageBases10	WgsCoverageBases100	WgsCoverageBases1000	WgsCoverageBases1000Pct	WgsCoverageBases100Pct	WgsCoverageBases10Pct	WgsCoverageBases15	WgsCoverageBases15Pct	WgsCoverageBases1Pct	WgsCoverageBases20	WgsCoverageBases20Pct	WgsCoverageBases30	WgsCoverageBases30Pct	WgsCoverageBases40	WgsCoverageBases40Pct	WgsCoverageBases50	WgsCoverageBases500	WgsCoverageBases500Pct	WgsCoverageBases50Pct	WgsCoverageBases60	WgsCoverageBases60Pct	WgsCoverageBases70	WgsCoverageBases70Pct	WgsCoverageMean	WgsCoverageMedian	WgsCoverageStandardDeviation	WgsExpectedAlignedReads	WgsFilteredLowBaseQualityBases	WgsFilteredOverlapBases	WgsReadsPaired	WgsReadsPairedWithMates	WgsTotalReads	YieldBases	YieldReads
Ods10xIds15x_HG006_sup-PAY77227_0.ont	ont	28169039597	93.32174	14308.912159	9131	193	14623.613932	100.0	230859469	0.81955	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods10xIds15x_HG006_sup-PAY77227_0/align/ont/Ods10xIds15x_HG006_sup-PAY77227_0.ont.cram	18832268222	0.0	0	0	0.0	173056853	0.614351	30063182651	99.596882	1968636	88.001155	27650661499	98.159759	345321245	1.225889	31164402	0.103663	54978	2.792695	26526064843	94.167445	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1894143054	6.300541	1683861	85.5344	0	2237057	0	0.0	2237057	100.0	121680474	0.403118	268421	11.998845	0	0.0	1968636	88.001155	1968636	0	0.0	2916526669	1345827438	1426559	143412	0.004627	0.046022	43.417293	224469771	7.241545	94.089099	25937373	0.836757	7657252	0.247028	4800406	0.154864	3373858	333619	0.010763	0.108843	2562322	0.082662	2121389	0.068437	9.031691	9	15.815734	1968636	0	0	0	0	2237057	30184863125	2237057
Ods10xIds20x_HG006_sup-PAY77227_0.ont	ont	28169039597	93.32174	14308.912159	9131	193	14623.613932	100.0	230859469	0.81955	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods10xIds20x_HG006_sup-PAY77227_0/align/ont/Ods10xIds20x_HG006_sup-PAY77227_0.ont.cram	18834034698	0.0	0	0	0.0	173056853	0.614351	30063182651	99.596882	1968636	88.001155	27650661499	98.159759	345321245	1.225889	31164402	0.103663	54978	2.792695	26526064843	94.167445	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1894143054	6.300541	1683861	85.5344	0	2237057	0	0.0	2237057	100.0	121680474	0.403118	268421	11.998845	0	0.0	1968636	88.001155	1968636	0	0.0	2916526669	1345827438	1426559	143412	0.004627	0.046022	43.417293	224469771	7.241545	94.089099	25937373	0.836757	7657252	0.247028	4800406	0.154864	3373858	333619	0.010763	0.108843	2562322	0.082662	2121389	0.068437	9.031691	9	15.815734	1968636	0	0	0	0	2237057	30184863125	2237057
Ods10xIds30x_HG006_sup-PAY77227_0.ont	ont	28169039597	93.32174	14308.912159	9131	193	14623.613932	100.0	230859469	0.81955	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods10xIds30x_HG006_sup-PAY77227_0/align/ont/Ods10xIds30x_HG006_sup-PAY77227_0.ont.cram	18833904332	0.0	0	0	0.0	173056853	0.614351	30063182651	99.596882	1968636	88.001155	27650661499	98.159759	345321245	1.225889	31164402	0.103663	54978	2.792695	26526064843	94.167445	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1894143054	6.300541	1683861	85.5344	0	2237057	0	0.0	2237057	100.0	121680474	0.403118	268421	11.998845	0	0.0	1968636	88.001155	1968636	0	0.0	2916526669	1345827438	1426559	143412	0.004627	0.046022	43.417293	224469771	7.241545	94.089099	25937373	0.836757	7657252	0.247028	4800406	0.154864	3373858	333619	0.010763	0.108843	2562322	0.082662	2121389	0.068437	9.031691	9	15.815734	1968636	0	0	0	0	2237057	30184863125	2237057
Ods10xIds5x_HG006_sup-PAY77227_0.ont	ont	28169039597	93.32174	14308.912159	9131	193	14623.613932	100.0	230859469	0.81955	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods10xIds5x_HG006_sup-PAY77227_0/align/ont/Ods10xIds5x_HG006_sup-PAY77227_0.ont.cram	18843171594	0.0	0	0	0.0	173056853	0.614351	30063182651	99.596882	1968636	88.001155	27650661499	98.159759	345321245	1.225889	31164402	0.103663	54978	2.792695	26526064843	94.167445	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1894143054	6.300541	1683861	85.5344	0	2237057	0	0.0	2237057	100.0	121680474	0.403118	268421	11.998845	0	0.0	1968636	88.001155	1968636	0	0.0	2916526669	1345827438	1426559	143412	0.004627	0.046022	43.417293	224469771	7.241545	94.089099	25937373	0.836757	7657252	0.247028	4800406	0.154864	3373858	333619	0.010763	0.108843	2562322	0.082662	2121389	0.068437	9.031691	9	15.815734	1968636	0	0	0	0	2237057	30184863125	2237057
Ods10xIds9x_HG006_sup-PAY77227_0.ont	ont	28169039597	93.32174	14308.912159	9131	193	14623.613932	100.0	230859469	0.81955	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods10xIds9x_HG006_sup-PAY77227_0/align/ont/Ods10xIds9x_HG006_sup-PAY77227_0.ont.cram	18832372318	0.0	0	0	0.0	173056853	0.614351	30063182651	99.596882	1968636	88.001155	27650661499	98.159759	345321245	1.225889	31164402	0.103663	54978	2.792695	26526064843	94.167445	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	1894143054	6.300541	1683861	85.5344	0	2237057	0	0.0	2237057	100.0	121680474	0.403118	268421	11.998845	0	0.0	1968636	88.001155	1968636	0	0.0	2916526669	1345827438	1426559	143412	0.004627	0.046022	43.417293	224469771	7.241545	94.089099	25937373	0.836757	7657252	0.247028	4800406	0.154864	3373858	333619	0.010763	0.108843	2562322	0.082662	2121389	0.068437	9.031691	9	15.815734	1968636	0	0	0	0	2237057	30184863125	2237057
Ods15xIds15x_HG006_sup-PAY77227_0.ont	ont	42247366248	93.302412	14311.554785	9126	193	14624.279148	100.0	346660937	0.82055	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods15xIds15x_HG006_sup-PAY77227_0/align/ont/Ods15xIds15x_HG006_sup-PAY77227_0.ont.cram	28245338252	0.0	0	0	0.0	260199216	0.615895	45097250825	99.596322	2951976	87.990326	41468580164	98.156604	518586868	1.227501	46808197	0.103794	82700	2.801513	39784776296	94.171021	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	2849884577	6.31942	2524543	85.520445	0	3354887	0	0.0	3354887	100.0	182785731	0.403678	402911	12.009674	0	0.0	2951976	87.990326	2951976	0	0.0	2921803653	2452106124	2209265	253161	0.008167	0.071272	79.106276	1293494273	41.728828	94.258973	325762784	10.509284	17112566	0.552061	9182863	0.296244	6246504	490562	0.015826	0.201516	4677518	0.150899	3678110	0.118658	13.545288	14	23.635586	2951976	0	0	0	0	3354887	45280036556	3354887
Ods15xIds20x_HG006_sup-PAY77227_0.ont	ont	42247366248	93.302412	14311.554785	9126	193	14624.279148	100.0	346660937	0.82055	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods15xIds20x_HG006_sup-PAY77227_0/align/ont/Ods15xIds20x_HG006_sup-PAY77227_0.ont.cram	28246600063	0.0	0	0	0.0	260199216	0.615895	45097250825	99.596322	2951976	87.990326	41468580164	98.156604	518586868	1.227501	46808197	0.103794	82700	2.801513	39784776296	94.171021	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	2849884577	6.31942	2524543	85.520445	0	3354887	0	0.0	3354887	100.0	182785731	0.403678	402911	12.009674	0	0.0	2951976	87.990326	2951976	0	0.0	2921803653	2452106124	2209265	253161	0.008167	0.071272	79.106276	1293494273	41.728828	94.258973	325762784	10.509284	17112566	0.552061	9182863	0.296244	6246504	490562	0.015826	0.201516	4677518	0.150899	3678110	0.118658	13.545288	14	23.635586	2951976	0	0	0	0	3354887	45280036556	3354887
Ods15xIds30x_HG006_sup-PAY77227_0.ont	ont	42247366248	93.302412	14311.554785	9126	193	14624.279148	100.0	346660937	0.82055	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods15xIds30x_HG006_sup-PAY77227_0/align/ont/Ods15xIds30x_HG006_sup-PAY77227_0.ont.cram	28246767605	0.0	0	0	0.0	260199216	0.615895	45097250825	99.596322	2951976	87.990326	41468580164	98.156604	518586868	1.227501	46808197	0.103794	82700	2.801513	39784776296	94.171021	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	2849884577	6.31942	2524543	85.520445	0	3354887	0	0.0	3354887	100.0	182785731	0.403678	402911	12.009674	0	0.0	2951976	87.990326	2951976	0	0.0	2921803653	2452106124	2209265	253161	0.008167	0.071272	79.106276	1293494273	41.728828	94.258973	325762784	10.509284	17112566	0.552061	9182863	0.296244	6246504	490562	0.015826	0.201516	4677518	0.150899	3678110	0.118658	13.545288	14	23.635586	2951976	0	0	0	0	3354887	45280036556	3354887
Ods15xIds5x_HG006_sup-PAY77227_0.ont	ont	42247366248	93.302412	14311.554785	9126	193	14624.279148	100.0	346660937	0.82055	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods15xIds5x_HG006_sup-PAY77227_0/align/ont/Ods15xIds5x_HG006_sup-PAY77227_0.ont.cram	28243068766	0.0	0	0	0.0	260199216	0.615895	45097250825	99.596322	2951976	87.990326	41468580164	98.156604	518586868	1.227501	46808197	0.103794	82700	2.801513	39784776296	94.171021	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	2849884577	6.31942	2524543	85.520445	0	3354887	0	0.0	3354887	100.0	182785731	0.403678	402911	12.009674	0	0.0	2951976	87.990326	2951976	0	0.0	2921803653	2452106124	2209265	253161	0.008167	0.071272	79.106276	1293494273	41.728828	94.258973	325762784	10.509284	17112566	0.552061	9182863	0.296244	6246504	490562	0.015826	0.201516	4677518	0.150899	3678110	0.118658	13.545288	14	23.635586	2951976	0	0	0	0	3354887	45280036556	3354887
Ods15xIds9x_HG006_sup-PAY77227_0.ont	ont	42247366248	93.302412	14311.554785	9126	193	14624.279148	100.0	346660937	0.82055	0	0.0	0	0.0	0	0.0	results/day/hg38/Ods15xIds9x_HG006_sup-PAY77227_0/align/ont/Ods15xIds9x_HG006_sup-PAY77227_0.ont.cram	28248497944	0.0	0	0	0.0	260199216	0.615895	45097250825	99.596322	2951976	87.990326	41468580164	98.156604	518586868	1.227501	46808197	0.103794	82700	2.801513	39784776296	94.171021	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	0	0.0	0.0	0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0	2849884577	6.31942	2524543	85.520445	0	3354887	0	0.0	3354887	100.0	182785731	0.403678	402911	12.009674	0	0.0	2951976	87.990326	2951976	0	0.0	2921803653	2452106124	2209265	253161	0.008167	0.071272	79.106276	1293494273	41.728828	94.258973	325762784	10.509284	17112566	0.552061	9182863	0.296244	6246504	490562	0.015826	0.201516	4677518	0.150899	3678110	0.118658	13.545288	14	23.635586	2951976	0	0	0	0	3354887	45280036556	3354887
